date,title,company,location,salary_text,salary_min_aed,salary_max_aed,years_asked,score,skills_matched,source,link
2026-09-23,Data Engineer: Power BI,Yaumi International Bakeries,,,,,,22,power bi|sql|python|etl|dashboard|data pipeline|pipeline,Trabajo.org,https://ae.trabajo.org/job-3339-4a6860eb960195cbf9d16989320e69f0
2026-09-23,"Entry-Level Data Analyst | Excel, SQL",Smart Manpower,AE,,,,,15,power bi|sql|tableau|excel|dashboard,Trabajo.org,https://ae.trabajo.org/job-5437-0f77c2b27baf70d199f3fb32c2594f3c
2026-09-23,"Entry-Level Data Analyst | Excel, SQL",Smart Manpower,AE,,,,,15,power bi|sql|tableau|excel|dashboard,Trabajo.org,https://ae.trabajo.org/job-5437-0f77c2b27baf70d199f3fb32c2594f3c
2026-09-23,Power BI & Automation Specialist - Remote (UAE),micro1,,,,,4,13,power bi|sql|dax|dashboard,Jobrapido.com,https://ae.jobrapido.com/jobpreview/4690336075879546880
2026-09-23,Cards MIS Specialist,PayTech Group,AE,,,,,13,power bi|sql|python|dashboard|reporting|spark,LinkedIn,https://ae.linkedin.com/jobs/view/cards-mis-specialist-at-paytech-group-4469002698
2026-09-23,Middle Power BI Analyst,Ajax Systems,,,,,,11,power bi,Trabajo.org,https://ae.trabajo.org/job-3988-b28646fc6bd8431dffffc425d85955da
2026-09-23,Middle Power BI Analyst,Ajax Systems,,,,,,11,power bi,Trabajo.org,https://ae.trabajo.org/job-3988-b28646fc6bd8431dffffc425d85955da
2026-09-23,Data Analyst in Dubai | Flexible Hours + Health Benefits,Flyper,AE,,,,,9,sql|statistic,Trabajo.org,https://ae.trabajo.org/job-5439-52be0cdf5b1b6f8fc74f133ec12729e0
2026-09-23,Data Analyst | Data Engineering,Careers at UAE,AE,,,,,9,,Trabajo.org,https://ae.trabajo.org/job-3339-8a3bc77d0191da5d467e21c0a7b3d618
2026-09-23,Power BI Expert Vacancy,Wearekairos,AE,,,,,9,power bi|dashboard|kpi,Jooble,https://ae.jooble.org/jdp/-4025832393722697508
2026-09-23,Data Analyst | Data Engineering,Careers at UAE,AE,,,,,9,,Trabajo.org,https://ae.trabajo.org/job-3339-8a3bc77d0191da5d467e21c0a7b3d618
2026-09-23,Junior Data Engineer: Build and Maintain GCP Pipelines,Remotedxb,,,,,,8,data pipeline|pipeline|airflow,JobLeads,https://www.jobleads.com/ae/job/junior-data-engineer-build-and-maintain-gcp-pipelines--dubai--ed20ed89ecc5e8d1d3361d69c4d51c222
2026-09-23,Financial Data Analyst,Visioneers,,,,,,7,dashboard|reporting,Jobs By Workable,https://apply.workable.com/visioneers/j/F07DB5AB94
2026-09-23,Data Platform Engineer — Build Scalable Pipelines,BlackStone eIT,AE,,,,3,7,sql|azure|data pipeline|pipeline,Trabajo.org,https://ae.trabajo.org/job-5439-0c0bdaee0a874e17f8891670e21bf8c5
2026-09-23,Demand Analytics Specialist: Data-Driven Growth Insights,AMS International UAE,,,,,,6,power bi|excel|reporting|pipeline,JobLeads,https://www.jobleads.com/ae/job/demand-analytics-specialist-data-driven-growth-insights--dubai--ec37b6ccfebf61d8863666577c36077e3
